variable,variable_type,p_raw,p_bonferroni,sig
writer_knowledge,scale,0.0,0.0,***
writer_importance,scale,0.0,0.0,***
writer_confidence,scale,0.0,0.0,***
writer_stance_polarity,scale,4.410113639409409e-91,1.2789329554287286e-89,***
paragraph_formality,scale,0.0,0.0,***
paragraph_clarity,scale,0.0,0.0,***
paragraph_informativeness,scale,0.0,0.0,***
paragraph_originality,scale,0.0,0.0,***
paragraph_relevance,scale,0.0,0.0,***
writer_optimism,scale,0.0,0.0,***
writer_community,scale,0.0,0.0,***
writer_friendliness,scale,4.420752097915406e-149,1.2820181083954678e-147,***
writer_openness,scale,0.0879877618418201,1.0,
paragraph_hope,scale,0.0,0.0,***
paragraph_excitement,scale,5.008058453080212e-160,1.4523369513932616e-158,***
paragraph_fear,scale,1.0291391449410756e-09,2.984503520329119e-08,***
paragraph_disgust,scale,1.710393178380098e-148,4.960140217302284e-147,***
paragraph_anger,scale,1.2523773882580967e-138,3.6318944259484806e-137,***
writer_affect_x,scale,2.2611164719909945e-245,6.557237768773884e-244,***
writer_affect_y,scale,8.54172151941444e-89,2.4770992406301875e-87,***
writer_education,categorical,0.0,0.0,***
writer_english_skills,categorical,0.0,0.0,***
writer_income,categorical,0.0,0.0,***
writer_politicalParty,categorical,0.0,0.0,***
writer_age_binned,categorical,5.317965202833029e-236,1.5422099088215785e-234,***
writer_english_first,categorical,0.0,0.0,***
writer_politicalIdeology,categorical,4.107420555117109e-70,1.1911519609839616e-68,***
writer_gender,categorical,3.7195917768190215e-08,1.0786816152775162e-06,***
writer_race,categorical,9.873275079605056e-10,2.863249773085466e-08,***
